artist_name,artist_id,deezer_fans,deezer_rank,picture_url,deezer_link,top_track_name,top_track_rank,top_track_duration,genero
PERREO REGGAETON MX,286521061,81,0,https://cdn-images.dzcdn.net/images/artist/14a33c557dc51d112dc840f161bd2fb5/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/286521061,N/A,0,0,reggaeton
Allen Folk,73665622,71,0,https://cdn-images.dzcdn.net/images/artist/77e65e626d88634ddd2e4a1bef534a20/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/73665622,When The Sun Goes Down,309408,153,folk
Salsa 2000,1220835,68,0,https://cdn-images.dzcdn.net/images/artist/cb350186a35bfe2ccfedf2c2409a4396/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1220835,Por Qué Me Abandonó,92846,279,salsa
Indie Elephant,115410792,67,0,https://cdn-images.dzcdn.net/images/artist/66860d5cb459e0c50b645726aacf7b80/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/115410792,Astral (Original Mix),61475,417,indie
Indie,86217082,65,0,https://cdn-images.dzcdn.net/images/artist/e12404676f263ae6f1f90b6fe16643e0/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/86217082,N/A,0,0,indie
The Electronica's,5507018,63,0,https://cdn-images.dzcdn.net/images/artist/3d33c3c48759c1b6e6274e4de4447713/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/5507018,N/A,0,0,electrónica
Folk & Rackare,324412,58,0,https://cdn-images.dzcdn.net/images/artist/1abfee7d9f301c89ce2028f06d70ea45/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/324412,N/A,0,0,folk
Urbano Arroyo,10615461,54,0,https://cdn-images.dzcdn.net/images/artist/f0882f7941cbb2c86a809fbf663e719f/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/10615461,N/A,0,0,urbano
Urbano Band,2097841,45,0,https://cdn-images.dzcdn.net/images/artist/91ce9fb38559e76eca3511b82debda03/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/2097841,N/A,0,0,urbano
Tres Latino,455249,43,0,https://cdn-images.dzcdn.net/images/artist/68867c404d16385ee455838b0c07c60e/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/455249,"El Tiburón, Merengue",31904,296,trap latino
Jaquarious indie,356888522,42,0,https://cdn-images.dzcdn.net/images/artist/df97370ce088992ea80adb9711eb309b/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/356888522,all the time,278631,94,indie
Platinò,1248470,37,0,https://cdn-images.dzcdn.net/images/artist/1731bf1795b4fa7d7578cf1eff3528be/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1248470,N/A,0,0,pop latino
Electronica D. Foundation,236598951,34,0,https://cdn-images.dzcdn.net/images/artist/d9dc37f3fd0ba8e69963e6e35eeed805/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/236598951,Sandstorm,21791,250,electrónica
Pop Latin Urban Boys,1214295,33,0,https://cdn-images.dzcdn.net/images/artist/d3b00152fda9d82594bc217f144d30c3/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1214295,N/A,0,0,pop latino
Trap Nation (UK),144416562,29,0,https://cdn-images.dzcdn.net/images/artist/0261c3ff43da3e2bec21fb32077323ac/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/144416562,N/A,0,0,trap latino
Urbano Moraes,5364304,29,0,https://cdn-images.dzcdn.net/images/artist/8ddee2cde36a3a879006f0869e42271d/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/5364304,Cuestión de Honor,7003,286,urbano
La Banda Pop Latina,1452160,23,0,https://cdn-images.dzcdn.net/images/artist/378dbdbf1403b4b88bdd16da79657110/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1452160,N/A,0,0,pop latino
Urban O,111692912,23,0,https://cdn-images.dzcdn.net/images/artist/67a73debf2093ef9bbf3cf5234638abe/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/111692912,Money Check,90292,125,urbano
THIS IS REGGAETON,209179827,18,0,https://cdn-images.dzcdn.net/images/artist/7ab276c792e092e74270e13c93b18c1a/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/209179827,Perro Amarrado,65592,215,reggaeton
Hackney Electronica,310682921,15,0,https://cdn-images.dzcdn.net/images/artist/1a7c1e19eae9e97adbba49c014f61600/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/310682921,N/A,0,0,electrónica
-Urbano-,91767432,15,0,https://cdn-images.dzcdn.net/images/artist/f68e4fafac1f0f29e84c30f70f05b857/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/91767432,N/A,0,0,urbano
Marimba Orquesta Sonora Latina De Miguel Rocche,156942572,10,0,https://cdn-images.dzcdn.net/images/artist/a8b8181990c08a6a39bb49e4e425fa73/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/156942572,N/A,0,0,rock latino
Urbano Eletroacustico,110826172,10,0,https://cdn-images.dzcdn.net/images/artist/6a6994721f8d00f64ea712468db92dbb/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/110826172,N/A,0,0,urbano
Electronica Nacional,125194802,10,0,https://cdn-images.dzcdn.net/images/artist/886db7857570b05535f62446d1364d56/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/125194802,N/A,0,0,electrónica
Urbano Medeiros,12172736,9,0,https://cdn-images.dzcdn.net/images/artist/1449b184cd2739c1313ce555dcdf93bc/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/12172736,N/A,0,0,urbano
INDIE CINDY,230358045,8,0,https://cdn-images.dzcdn.net/images/artist/8a96377fda58e4902483d56067b1a00d/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/230358045,N/A,0,0,indie
"Franksen, C-Rock, Ben Nook, Peter Latino",12126982,7,0,https://cdn-images.dzcdn.net/images/artist//1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/12126982,N/A,0,0,rock latino
Team Latino,4678753,6,0,https://cdn-images.dzcdn.net/images/artist/88db99b27a1d3cd7d1b79346d917cd37/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/4678753,Mi Equivoque,24397,255,trap latino
Reggaeton Sensual,279397911,6,0,https://cdn-images.dzcdn.net/images/artist/9db2766bc6f4004208fbcf4600e2c819/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/279397911,N/A,0,0,reggaeton
The Salsa Lounge,161597372,6,0,https://cdn-images.dzcdn.net/images/artist/41f18e0142c3283b0885cb0835d210a6/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/161597372,Out the Blue,8048,122,salsa
Urbano All Stars,261404841,6,0,https://cdn-images.dzcdn.net/images/artist/6051eaa16afcaf0c34a7f6f2762cec5c/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/261404841,Baker Street,31444,235,urbano
Urbano Europe,210948617,5,0,https://cdn-images.dzcdn.net/images/artist/f2a026acabc231f61bb607e8bd837edf/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/210948617,N/A,0,0,urbano
La Quinta Rock Latino Ec,291824241,4,0,https://cdn-images.dzcdn.net/images/artist/34ea0b71fd4a6a8099947030b725937c/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/291824241,N/A,0,0,rock latino
Indie Indie,238792671,4,0,https://cdn-images.dzcdn.net/images/artist/6ae7f299801b27a6276479d248c5c7ff/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/238792671,N/A,0,0,indie
Ethno Electronica,355288602,3,0,https://cdn-images.dzcdn.net/images/artist/e20c8037eb9e52395dd316064e6e9b4f/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/355288602,N/A,0,0,electrónica
OurVinyl | Folk,377220651,2,0,https://cdn-images.dzcdn.net/images/artist/5ee8c568f70d7097ea300fd8feda8203/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/377220651,I Can't Get My Head Around You (OurVinyl Sessions),135255,184,folk
Slavic Folk,351055332,2,0,https://cdn-images.dzcdn.net/images/artist/e98fc900601ae5194199a797a488b992/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/351055332,N/A,0,0,folk
LIRICAS DEL REGGAETON,263368971,1,0,https://cdn-images.dzcdn.net/images/artist/480333c2b21348be895671cde8360c37/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/263368971,COMO HAS ESTADO,106142,152,reggaeton
TRAP LATINO,407534992,1,0,https://cdn-images.dzcdn.net/images/artist//1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/407534992,N/A,0,0,trap latino
Re:Covered Indie,395975151,1,0,https://cdn-images.dzcdn.net/images/artist/5b5044ac9634e757012a5c1bfa2e7655/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/395975151,N/A,0,0,indie
Frecuencia Latina Por siempre,243483921,0,0,https://cdn-images.dzcdn.net/images/artist/03c161de0a9be2bd702ab5e93f99d5dc/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/243483921,N/A,0,0,pop latino
Pacifistes Rock latino System,374218891,0,0,https://cdn-images.dzcdn.net/images/artist//1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/374218891,N/A,0,0,rock latino
Kritical Trap Latino,361114922,0,0,https://cdn-images.dzcdn.net/images/artist/c1075c565661bd4834030d5d4773ac30/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/361114922,N/A,0,0,trap latino
Latino Pop,249245952,0,0,https://cdn-images.dzcdn.net/images/artist//1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/249245952,N/A,0,0,pop latino
the hyper folk,379670221,0,0,https://cdn-images.dzcdn.net/images/artist/7e26653f0f2b6844f3787421f50eee72/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/379670221,N/A,0,0,folk
