artist_name,artist_id,deezer_fans,deezer_rank,picture_url,deezer_link,top_track_name,top_track_rank,top_track_duration,genero
Tokyo Police Club,8786,18688,0,https://cdn-images.dzcdn.net/images/artist/d201e5cbfc7f409903b059f63f122fb5/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/8786,Your English Is Good,210377,191,indie
Salsa Mix,2121751,13912,0,https://cdn-images.dzcdn.net/images/artist/c1da70c9fe08e85a4e124da5d7d44c8a/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/2121751,Fabricando Fantasias,125662,273,salsa
Salsa,156583,13078,0,https://cdn-images.dzcdn.net/images/artist/ccae5be4ba6d34929d537a35cb28f1d7/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/156583,Que Locura Enamorarme De Ti,347727,311,salsa
Reggaeton Latino,94905,12011,0,https://cdn-images.dzcdn.net/images/artist/dd3af3c27c528b6ff58a59b8bb21daac/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/94905,La Popola,135323,195,reggaeton
Volker Bertelmann,4576779,11225,0,https://cdn-images.dzcdn.net/images/artist/bb03c4587b9aa331f0a8e523a323eaaf/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/4576779,"Lion Theme (From ""Lion"" Soundtrack)",536015,119,folk
Volkoder,4052604,10804,0,https://cdn-images.dzcdn.net/images/artist/6629a6d262ffd6ecccdda364003df8fb/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/4052604,Other Dimension,682244,204,folk
Maykel Blanco Y Su Salsa Mayor,1378446,9846,0,https://cdn-images.dzcdn.net/images/artist/6f9e9b43ac8af72afe83edab329bc7bb/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1378446,Siempre Que Llueve Escampa,255354,292,salsa
Salsa Clásica,14215581,9386,0,https://cdn-images.dzcdn.net/images/artist/1509df074ff50860e4411d8f5ce046bf/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/14215581,Tu Amante O Tu Amigo,103959,250,salsa
Indira Paganotto,5576719,9188,0,https://cdn-images.dzcdn.net/images/artist/ae14be4ebea3e1ed982a77884506ba4f/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/5576719,La Patrona,144486,201,indie
You Salsa,14210919,8123,0,https://cdn-images.dzcdn.net/images/artist/50432434ef407835f5c0f3a28ca09416/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/14210919,¿ Y Ahora Qué Hacemos?,102762,298,salsa
La Mejor Música Electrónica,85834832,7852,0,https://cdn-images.dzcdn.net/images/artist/e7d6c6b38e93adf12cba422c4924e89b/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/85834832,Tu Cuerpo Tu Templo,120026,244,electrónica
Salsa Picante,153220,7530,0,https://cdn-images.dzcdn.net/images/artist/458e3038297e127f4c88a201e04442d5/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/153220,Corazon Embustero,394132,370,salsa
